Date,Month,Year,Weekday,Avg Trip Duration,Total Rides,TempHighF,TempAvgF,DewPointHighF,DewPointAvgF,WindHighMPH,WindAvgMPH,PrecipitationSumInches,Events,PrecipBins
2014-03-07,3,2014,4,27.506999999999998,1070,67,53,50,42,16,6,0.0,Sunny,0
2014-03-08,3,2014,5,32.32,537,59,52,57,49,14,4,0.74,"Rain , Thunderstorm",0.5-2
2014-03-09,3,2014,6,26.318,1341,58,49,45,39,15,5,0.11,Rain,0.1-0.5
2014-03-10,3,2014,0,25.865,1721,71,61,56,51,12,3,0.01,Rain,0.1-0.5
2014-03-11,3,2014,1,28.3,2080,83,70,56,54,14,5,0.0,Sunny,0
2014-03-12,3,2014,2,23.930999999999997,1905,70,60,50,28,24,11,0.0,Sunny,0
2014-03-13,3,2014,3,35.25,2170,68,52,40,26,9,4,0.0,Sunny,0
2014-03-14,3,2014,4,35.678000000000004,2808,75,62,59,51,13,5,0.0,Sunny,0
2014-03-15,3,2014,5,40.732,2587,74,68,64,62,12,4,0.07,"Fog , Rain",0.1-0.5
2014-03-16,3,2014,6,36.805,1026,64,56,58,45,24,11,0.0,Sunny,0
2014-03-17,3,2014,0,20.524,372,68,55,31,26,16,6,0.0,Sunny,0
2014-03-18,3,2014,1,33.567,351,83,65,56,42,18,8,0.0,Sunny,0
2014-03-19,3,2014,2,23.258000000000003,275,72,62,55,37,15,6,0.0,Sunny,0
2014-03-20,3,2014,3,27.822,443,76,59,40,36,10,2,0.0,Sunny,0
2014-03-21,3,2014,4,36.716,656,80,67,60,54,17,7,0.0,Fog,0
2014-03-22,3,2014,5,32.054,868,77,69,65,62,12,4,0.0,Sunny,0
2014-03-23,3,2014,6,33.016,380,61,54,51,43,17,9,0.0,Sunny,0
2014-03-24,3,2014,0,35.041,338,66,58,47,42,10,3,0.0,Sunny,0
2014-03-25,3,2014,1,25.741999999999997,341,69,57,46,38,15,5,0.0,Sunny,0
2014-03-26,3,2014,2,16.147000000000002,211,66,60,55,47,22,10,0.005,Rain,0.1-0.5
2014-03-27,3,2014,3,19.791,268,82,72,68,63,16,8,0.01,Rain,0.1-0.5
2014-03-28,3,2014,4,34.343,531,89,76,67,61,18,5,0.0,Thunderstorm,0
2014-03-29,3,2014,5,40.569,995,77,64,48,40,13,5,0.0,Sunny,0
2014-03-30,3,2014,6,34.336999999999996,778,79,62,51,43,20,8,0.0,Sunny,0
2014-03-31,3,2014,0,27.355999999999998,337,85,73,62,57,16,9,0.0,Sunny,0
2014-04-01,4,2014,1,52.004,261,86,76,67,64,17,8,0.0,Sunny,0
2014-04-02,4,2014,2,26.433000000000003,312,82,76,69,67,16,9,0.005,Rain,0.1-0.5
2014-04-03,4,2014,3,28.458000000000002,286,82,77,69,67,14,7,0.005,Sunny,0.1-0.5
2014-04-04,4,2014,4,46.326,528,74,64,69,35,17,8,0.005,Rain,0.1-0.5
2014-04-05,4,2014,5,31.823,587,65,60,46,38,10,4,0.005,Sunny,0.1-0.5
2014-04-06,4,2014,6,36.678000000000004,242,61,57,51,49,12,5,0.2,"Rain , Thunderstorm",0.1-0.5
2014-04-07,4,2014,0,22.709,296,72,62,51,49,25,3,0.27,"Rain , Thunderstorm",0.1-0.5
2014-04-08,4,2014,1,24.717,272,77,64,50,38,22,8,0.0,Sunny,0
2014-04-09,4,2014,2,29.359,390,84,65,51,42,13,6,0.0,Sunny,0
2014-04-10,4,2014,3,34.041,314,87,72,59,53,17,10,0.0,Sunny,0
2014-04-11,4,2014,4,32.228,615,85,73,61,59,16,8,0.0,Sunny,0
2014-04-12,4,2014,5,43.053999999999995,953,85,75,63,62,20,10,0.0,Sunny,0
2014-04-13,4,2014,6,32.764,543,78,73,68,66,18,7,0.005,Sunny,0.1-0.5
2014-04-14,4,2014,0,19.764,174,73,58,69,46,22,10,1.34,"Fog , Rain , Thunderstorm",0.5-2
2014-04-15,4,2014,1,31.276,391,65,52,32,25,12,4,0.0,Sunny,0
2014-04-16,4,2014,2,28.916,358,73,57,48,40,16,7,0.0,Sunny,0
2014-04-17,4,2014,3,26.444000000000003,277,67,62,61,57,10,4,0.06,Rain,0.1-0.5
2014-04-18,4,2014,4,47.598,706,78,69,61,57,9,2,0.01,Rain,0.1-0.5
2014-04-19,4,2014,5,36.812,1177,78,66,56,54,13,5,0.0,Sunny,0
2014-04-20,4,2014,6,37.037,805,75,68,63,59,12,6,0.0,Sunny,0
2014-04-21,4,2014,0,34.376,463,84,74,65,63,14,5,0.01,"Rain , Thunderstorm",0.1-0.5
2014-04-22,4,2014,1,25.868000000000002,439,87,75,63,58,12,3,0.0,Sunny,0
2014-04-23,4,2014,2,23.796,447,87,73,64,61,17,7,0.0,Sunny,0
2014-04-24,4,2014,3,27.104,365,88,78,66,62,16,5,0.0,Sunny,0
2014-04-25,4,2014,4,37.538000000000004,658,88,76,64,54,12,6,0.0,Sunny,0
2014-04-26,4,2014,5,42.595,968,86,77,69,66,16,8,0.005,Rain,0.1-0.5
2014-04-27,4,2014,6,33.453,601,96,85,70,66,14,6,0.0,Sunny,0
2014-04-28,4,2014,0,27.771,385,93,80,69,39,14,4,0.0,Sunny,0
2014-04-29,4,2014,1,27.081,308,84,72,46,34,17,7,0.0,Sunny,0
2014-04-30,4,2014,2,26.346999999999998,340,75,66,38,33,16,6,0.0,Sunny,0
2014-05-01,5,2014,3,25.987,386,77,65,43,33,10,3,0.0,Sunny,0
2014-05-02,5,2014,4,43.301,695,83,70,40,35,9,3,0.0,Sunny,0
2014-05-03,5,2014,5,33.203,782,94,76,42,35,13,4,0.0,Sunny,0
2014-05-04,5,2014,6,40.569,641,91,76,42,37,14,7,0.0,Sunny,0
2014-05-05,5,2014,0,25.988000000000003,420,92,76,59,56,16,8,0.0,Sunny,0
2014-05-06,5,2014,1,28.85,333,87,76,64,62,17,9,0.0,Sunny,0
2014-05-07,5,2014,2,20.386,303,88,79,67,64,18,9,0.0,Sunny,0
2014-05-08,5,2014,3,31.855999999999998,243,84,79,73,70,17,8,0.06,Rain,0.1-0.5
2014-05-09,5,2014,4,27.070999999999998,424,86,76,71,68,20,5,0.005,"Rain , Thunderstorm",0.1-0.5
2014-05-10,5,2014,5,40.404,725,91,76,66,62,16,6,0.0,Sunny,0
2014-05-11,5,2014,6,29.215999999999998,621,93,83,68,67,18,10,0.0,Sunny,0
2014-05-12,5,2014,0,19.336,211,82,72,76,70,18,7,2.45,"Fog , Rain , Thunderstorm",2-10
2014-05-13,5,2014,1,13.83,171,67,61,60,54,16,8,0.94,"Rain , Thunderstorm",0.5-2
2014-05-14,5,2014,2,26.005,422,76,64,51,43,17,7,0.14,Rain,0.1-0.5
2014-05-15,5,2014,3,29.284000000000002,457,84,65,47,41,10,3,0.0,Sunny,0
2014-05-16,5,2014,4,27.441999999999997,477,86,74,48,43,15,7,0.0,Sunny,0
2014-05-17,5,2014,5,37.425,781,86,73,59,55,17,9,0.0,Sunny,0
2014-05-18,5,2014,6,44.25899999999999,611,85,74,61,59,16,8,0.0,Sunny,0
2014-05-19,5,2014,0,26.340999999999998,361,86,76,64,61,18,10,0.0,Sunny,0
2014-05-20,5,2014,1,24.796999999999997,330,89,78,65,62,14,9,0.0,Sunny,0
2014-05-21,5,2014,2,31.969,259,89,80,66,64,16,8,0.0,Sunny,0
2014-05-22,5,2014,3,17.522000000000002,370,87,79,68,65,15,7,0.005,Sunny,0.1-0.5
2014-05-23,5,2014,4,29.788,523,84,78,71,67,14,6,0.19,"Fog , Rain",0.1-0.5
2014-05-24,5,2014,5,34.56,998,86,78,70,68,15,7,0.005,Sunny,0.1-0.5
2014-05-25,5,2014,6,35.019,1140,87,80,67,66,15,6,0.005,Thunderstorm,0.1-0.5
2014-05-26,5,2014,0,34.898,284,75,70,70,65,17,5,1.56,"Rain , Thunderstorm",0.5-2
2014-05-27,5,2014,1,27.0,203,73,68,67,64,22,3,1.75,"Fog , Rain , Thunderstorm",0.5-2
2014-05-28,5,2014,2,27.474,291,84,76,68,66,14,4,0.0,Sunny,0
2014-05-29,5,2014,3,25.791,320,89,78,65,63,9,2,0.0,Sunny,0
2014-05-30,5,2014,4,31.649,576,94,81,67,65,9,3,0.0,Sunny,0
2014-05-31,5,2014,5,35.538000000000004,689,93,82,69,67,10,3,0.0,Sunny,0
2014-06-01,6,2014,6,29.204,573,88,80,71,69,14,4,0.0,Sunny,0
2014-06-02,6,2014,0,21.461,380,91,83,71,69,13,7,0.0,Sunny,0
2014-06-03,6,2014,1,29.824,426,90,83,72,70,10,6,0.005,Sunny,0.1-0.5
2014-06-04,6,2014,2,28.17,536,91,83,71,70,12,7,0.0,Sunny,0
2014-06-05,6,2014,3,33.379,634,91,83,72,70,14,7,0.0,Sunny,0
2014-06-06,6,2014,4,33.286,588,92,83,71,70,14,7,0.0,Sunny,0
2014-06-07,6,2014,5,38.882,712,92,83,72,70,14,7,0.0,Sunny,0
2014-06-08,6,2014,6,37.674,522,90,83,72,70,16,7,0.005,Rain,0.1-0.5
2014-06-09,6,2014,0,25.871,271,86,77,75,71,14,4,0.55,"Rain , Thunderstorm",0.5-2
2014-06-10,6,2014,1,25.921,354,92,78,70,61,13,3,0.0,Sunny,0
2014-06-11,6,2014,2,29.191999999999997,369,94,80,73,66,14,5,0.0,Sunny,0
2014-06-12,6,2014,3,29.002,405,92,80,74,72,24,8,1.49,"Rain , Thunderstorm",0.5-2
2014-06-13,6,2014,4,27.798000000000002,456,89,79,62,57,15,4,0.0,Sunny,0
2014-06-14,6,2014,5,35.591,696,87,92,62,57,15,6,0.0,Sunny,0
2014-06-15,6,2014,6,45.845,431,91,83,62,57,14,9,0.0,Sunny,0
2014-06-16,6,2014,0,21.706,378,92,84,62,57,12,8,0.005,Sunny,0.1-0.5
2014-06-17,6,2014,1,20.956999999999997,277,92,84,72,69,12,9,0.0,Sunny,0
2014-06-18,6,2014,2,22.794,267,92,85,75,72,16,9,0.02,Rain,0.1-0.5
2014-06-19,6,2014,3,22.426,345,91,84,74,71,13,6,0.01,Sunny,0.1-0.5
2014-06-20,6,2014,4,32.539,588,91,83,73,71,13,5,0.0,Sunny,0
2014-06-21,6,2014,5,31.889,808,92,84,74,72,15,6,0.005,Sunny,0.1-0.5
2014-06-22,6,2014,6,38.3,513,90,83,74,72,13,8,0.005,Sunny,0.1-0.5
2014-06-23,6,2014,0,22.266,278,88,78,75,72,16,4,0.27,"Rain , Thunderstorm",0.1-0.5
2014-06-24,6,2014,1,27.315,336,93,84,74,72,22,4,0.24,"Fog , Rain , Thunderstorm",0.1-0.5
2014-06-25,6,2014,2,17.364,264,89,80,76,72,16,5,0.49,"Fog , Rain , Thunderstorm",0.1-0.5
2014-06-26,6,2014,3,29.024,336,88,80,75,71,15,7,0.01,Rain,0.1-0.5
2014-06-27,6,2014,4,30.385,429,91,83,74,72,17,8,0.005,Sunny,0.1-0.5
2014-06-28,6,2014,5,43.653,698,93,86,74,73,16,9,0.005,Sunny,0.1-0.5
2014-06-29,6,2014,6,37.228,403,95,86,74,73,17,9,0.0,Sunny,0
2014-06-30,6,2014,0,25.363000000000003,377,96,87,74,71,17,8,0.0,Sunny,0
2014-07-01,7,2014,1,37.118,356,96,86,73,70,15,6,0.0,Sunny,0
2014-07-02,7,2014,2,22.296999999999997,310,97,85,73,69,14,4,0.0,Sunny,0
2014-07-03,7,2014,3,27.83,429,96,84,71,69,20,3,0.07,"Rain , Thunderstorm",0.1-0.5
2014-07-04,7,2014,4,30.975,955,93,82,70,68,16,4,0.0,Thunderstorm,0
2014-07-05,7,2014,5,32.29,1200,94,82,71,69,18,4,0.0,Sunny,0
2014-07-06,7,2014,6,34.191,682,95,84,73,70,13,5,0.0,Sunny,0
2014-07-07,7,2014,0,25.834,349,96,85,70,67,13,5,0.0,Sunny,0
2014-07-08,7,2014,1,22.288,330,98,86,73,68,13,7,0.0,Sunny,0
2014-07-09,7,2014,2,23.201,374,98,85,72,66,14,6,0.0,Sunny,0
2014-07-10,7,2014,3,20.898000000000003,364,96,84,71,68,14,5,0.0,Sunny,0
2014-07-11,7,2014,4,24.471,503,95,83,72,67,13,5,0.0,Sunny,0
2014-07-12,7,2014,5,30.46,709,98,85,71,66,13,4,0.0,Sunny,0
2014-07-13,7,2014,6,26.465,449,100,87,71,67,13,4,0.0,Sunny,0
2014-07-14,7,2014,0,17.37,335,101,88,71,67,10,4,0.0,Sunny,0
2014-07-15,7,2014,1,17.581,265,92,83,73,71,15,3,0.06,"Rain , Thunderstorm",0.1-0.5
2014-07-16,7,2014,2,18.871,319,95,84,74,71,15,4,0.31,"Rain , Thunderstorm",0.1-0.5
2014-07-17,7,2014,3,21.346999999999998,317,89,82,76,74,13,5,3.53,"Fog , Rain , Thunderstorm",2-10
2014-07-18,7,2014,4,23.919,406,78,75,74,71,14,3,1.52,"Rain , Thunderstorm",0.5-2
2014-07-19,7,2014,5,30.803,826,86,78,70,68,8,2,0.0,Sunny,0
2014-07-20,7,2014,6,32.558,566,94,84,76,72,12,4,0.0,Sunny,0
2014-07-21,7,2014,0,23.555,384,96,87,76,73,10,6,0.0,Sunny,0
2014-07-22,7,2014,1,26.474,445,96,86,74,72,8,2,0.0,Sunny,0
2014-07-23,7,2014,2,22.785999999999998,407,97,86,75,71,7,3,0.0,Sunny,0
2014-07-24,7,2014,3,27.118000000000002,306,94,84,77,72,8,3,0.09,Rain,0.1-0.5
2014-07-25,7,2014,4,27.03,406,96,86,73,70,12,5,0.0,Sunny,0
2014-07-26,7,2014,5,29.741999999999997,605,98,87,74,71,15,6,0.0,Sunny,0
2014-07-27,7,2014,6,33.148,452,98,87,74,71,13,6,0.0,Sunny,0
2014-07-28,7,2014,0,22.685,384,99,87,73,69,9,3,0.0,Sunny,0
2014-07-29,7,2014,1,22.259,255,97,87,72,70,13,4,0.0,Sunny,0
2014-07-30,7,2014,2,18.2,360,96,86,72,68,14,6,0.0,Sunny,0
2014-07-31,7,2014,3,29.386,298,97,87,73,71,13,4,0.0,Sunny,0
2014-08-01,8,2014,4,22.787,498,91,82,67,65,12,5,0.0,Sunny,0
2014-08-02,8,2014,5,43.21,656,90,79,68,66,10,3,0.0,Sunny,0
2014-08-03,8,2014,6,39.44,529,94,83,69,66,13,4,0.0,Sunny,0
2014-08-04,8,2014,0,22.608,316,94,83,72,69,13,3,0.0,Sunny,0
2014-08-05,8,2014,1,24.660999999999998,298,97,85,71,68,13,3,0.0,Sunny,0
2014-08-06,8,2014,2,20.456,395,99,88,73,68,13,5,0.0,Sunny,0
2014-08-07,8,2014,3,25.845,304,102,90,74,71,13,6,0.0,Sunny,0
2014-08-08,8,2014,4,23.798000000000002,332,102,89,75,70,13,6,0.0,Sunny,0
2014-08-09,8,2014,5,39.293,515,100,89,74,68,13,5,0.0,Sunny,0
2014-08-10,8,2014,6,29.796,357,101,89,74,69,13,4,0.0,Sunny,0
2014-08-11,8,2014,0,24.635,263,102,89,75,71,13,3,0.05,"Rain , Thunderstorm",0.1-0.5
2014-08-12,8,2014,1,15.046,281,100,87,73,66,12,4,0.0,Sunny,0
2014-08-13,8,2014,2,27.074,363,97,83,60,57,12,4,0.0,Sunny,0
2014-08-14,8,2014,3,19.977999999999998,277,98,84,68,61,9,4,0.0,Sunny,0
2014-08-15,8,2014,4,23.78,391,101,88,74,69,13,5,0.0,Sunny,0
2014-08-16,8,2014,5,34.650999999999996,490,104,91,74,69,14,7,0.0,Sunny,0
2014-08-17,8,2014,6,35.688,445,101,90,74,71,16,6,0.0,Sunny,0
2014-08-18,8,2014,0,19.745,278,102,90,75,71,15,7,0.0,Sunny,0
2014-08-19,8,2014,1,18.698,341,96,87,72,68,16,7,0.0,Thunderstorm,0
2014-08-20,8,2014,2,17.588,301,102,90,75,71,17,8,0.0,Sunny,0
2014-08-21,8,2014,3,21.909000000000002,253,103,92,75,71,17,9,0.0,Sunny,0
2014-08-22,8,2014,4,27.353,354,103,91,74,69,15,8,0.0,Sunny,0
2014-08-23,8,2014,5,36.874,516,101,88,73,69,14,6,0.0,Sunny,0
2014-08-24,8,2014,6,32.086999999999996,404,101,89,74,70,13,5,0.0,Sunny,0
2014-08-25,8,2014,0,17.297,279,101,89,73,67,10,5,0.0,Sunny,0
2014-08-26,8,2014,1,20.092,251,101,89,71,68,14,4,0.005,"Rain , Thunderstorm",0.1-0.5
2014-08-27,8,2014,2,17.86,257,98,87,72,66,10,4,0.0,Sunny,0
2014-08-28,8,2014,3,17.814,274,99,88,73,71,17,5,0.0,Sunny,0
2014-08-29,8,2014,4,27.901999999999997,305,96,87,75,72,15,5,0.07,"Rain , Thunderstorm",0.1-0.5
2014-08-30,8,2014,5,28.555,605,95,85,73,72,13,4,0.0,Sunny,0
2014-09-01,9,2014,0,40.388000000000005,466,101,90,75,72,15,8,0.0,Sunny,0
2014-09-02,9,2014,1,18.522000000000002,255,98,88,75,73,17,8,0.01,Sunny,0.1-0.5
2014-09-03,9,2014,2,29.544,259,100,88,74,70,17,6,0.0,Sunny,0
2014-09-04,9,2014,3,16.147000000000002,266,99,86,77,74,28,5,0.98,"Fog , Rain , Thunderstorm",0.5-2
2014-09-05,9,2014,4,24.043000000000003,391,97,87,75,73,13,4,0.02,Rain,0.1-0.5
2014-09-06,9,2014,5,27.338,640,97,86,75,71,13,3,0.19,"Rain , Thunderstorm",0.1-0.5
2014-09-07,9,2014,6,34.024,419,89,82,74,72,8,3,0.22,"Rain , Thunderstorm",0.1-0.5
2014-09-08,9,2014,0,16.947,301,96,84,71,69,12,3,0.0,Sunny,0
2014-09-09,9,2014,1,17.351,276,97,86,73,69,13,6,0.0,Sunny,0
2014-09-10,9,2014,2,18.107,262,99,88,73,71,14,7,0.0,Sunny,0
2014-09-11,9,2014,3,22.444000000000003,360,99,89,75,71,10,5,0.0,Sunny,0
2014-09-12,9,2014,4,26.349,281,96,81,74,70,15,5,0.51,"Rain , Thunderstorm",0.5-2
2014-09-13,9,2014,5,30.986,216,66,63,63,60,14,5,0.68,Rain,0.5-2
2014-09-14,9,2014,6,31.578000000000003,604,77,71,67,64,7,2,0.0,Sunny,0
2014-09-15,9,2014,0,29.928,335,88,79,70,68,8,2,0.0,Sunny,0
2014-09-16,9,2014,1,20.211,266,94,84,74,72,18,3,0.02,"Rain , Thunderstorm",0.1-0.5
2014-09-17,9,2014,2,18.977999999999998,273,91,83,75,74,14,3,0.35,"Rain , Thunderstorm",0.1-0.5
2014-09-18,9,2014,3,16.162,216,90,81,75,73,25,2,3.66,"Fog , Rain , Thunderstorm",2-10
2014-09-19,9,2014,4,23.447,309,86,80,75,74,10,3,0.13,Rain,0.1-0.5
2014-09-20,9,2014,5,29.389,596,90,82,75,73,9,3,0.21,Rain,0.1-0.5
2014-09-21,9,2014,6,27.045,551,90,81,73,70,10,3,0.0,Sunny,0
2014-09-22,9,2014,0,23.793000000000003,357,91,81,70,68,9,4,0.0,Sunny,0
2014-09-23,9,2014,1,18.775,360,85,76,66,58,8,3,0.0,Sunny,0
2014-09-24,9,2014,2,20.840999999999998,346,84,72,60,56,9,2,0.0,Sunny,0
2014-09-25,9,2014,3,18.057000000000002,371,83,73,66,62,13,3,0.005,Sunny,0.1-0.5
2014-09-26,9,2014,4,23.97,503,85,76,67,64,10,3,0.0,Sunny,0
2014-09-27,9,2014,5,31.523000000000003,792,80,74,69,66,9,2,0.005,Rain,0.1-0.5
2014-09-28,9,2014,6,29.791,621,88,77,67,65,12,3,0.0,Sunny,0
2014-09-29,9,2014,0,17.909000000000002,342,89,78,68,64,8,2,0.0,Sunny,0
2014-09-30,9,2014,1,19.699,329,90,78,70,65,9,2,0.0,Sunny,0
2014-10-01,10,2014,2,16.961,335,92,84,73,70,10,5,0.0,Sunny,0
2014-10-02,10,2014,3,28.19,420,92,84,75,72,14,7,0.03,"Rain , Thunderstorm",0.1-0.5
2014-10-03,10,2014,4,37.169000000000004,1203,85,75,59,51,14,7,0.0,Thunderstorm,0
2014-10-04,10,2014,5,33.437,1894,80,70,53,48,9,4,0.0,Sunny,0
2014-10-05,10,2014,6,32.488,1575,87,75,67,62,14,6,0.0,Sunny,0
2014-10-06,10,2014,0,21.04,577,89,81,71,69,13,6,0.0,Sunny,0
2014-10-07,10,2014,1,36.441,397,94,83,73,70,13,5,0.0,Sunny,0
2014-10-08,10,2014,2,19.687,498,90,82,72,70,15,6,0.0,Sunny,0
2014-10-09,10,2014,3,29.009,555,92,84,73,71,14,7,0.005,Rain,0.1-0.5
2014-10-10,10,2014,4,25.706,1304,92,84,73,70,14,7,0.0,Sunny,0
2014-10-11,10,2014,5,31.546999999999997,1522,78,69,72,62,14,5,1.42,"Fog , Rain",0.5-2
